
# Surface 0 of 1 surfaces

# Curve title: "x**2 + 2*x*y + y**3"

# Contour 0, label:    0.003
4.6301062e+00 -1.7434870e+00 3.0000000e-03 
4.7474747e+00 -1.7796846e+00 3.0000000e-03 
4.7593983e+00 -1.7835671e+00 3.0000000e-03 
4.8871198e+00 -1.8236473e+00 3.0000000e-03 
4.9494949e+00 -1.8424238e+00 3.0000000e-03 
5.0166692e+00 -1.8637275e+00 3.0000000e-03 
5.1483687e+00 -1.9038076e+00 3.0000000e-03 
5.1515152e+00 -1.9047326e+00 3.0000000e-03 
5.2781828e+00 -1.9438878e+00 3.0000000e-03 
5.3535354e+00 -1.9662694e+00 3.0000000e-03 
5.4103411e+00 -1.9839679e+00 3.0000000e-03 
5.5439372e+00 -2.0240481e+00 3.0000000e-03 
