
# Surface 0 of 1 surfaces

# Curve title: "sin(y**2) + x**2/3 - 1"

# Contour 0, label:        0
1.0101010e-01 7.1989661e+00 0.0000000e+00 

1.5151515e+00 9.0510642e+00 0.0000000e+00 
1.7118734e+00 9.0390390e+00 0.0000000e+00 
1.7171717e+00 9.0387172e+00 0.0000000e+00 
1.9191919e+00 9.0249109e+00 0.0000000e+00 
1.9967832e+00 9.0190190e+00 0.0000000e+00 
2.1212121e+00 9.0082491e+00 0.0000000e+00 
2.2183660e+00 8.9989990e+00 0.0000000e+00 
2.3232323e+00 8.9853728e+00 0.0000000e+00 
2.3683387e+00 8.9789790e+00 0.0000000e+00 
2.4403516e+00 8.9589590e+00 0.0000000e+00 
2.4344367e+00 8.9389389e+00 0.0000000e+00 
2.3518530e+00 8.9189189e+00 0.0000000e+00 
2.3232323e+00 8.9150562e+00 0.0000000e+00 
2.1926307e+00 8.8988989e+00 0.0000000e+00 
2.1212121e+00 8.8921792e+00 0.0000000e+00 
1.9657183e+00 8.8788789e+00 0.0000000e+00 
1.9191919e+00 8.8753031e+00 0.0000000e+00 
1.7171717e+00 8.8613293e+00 0.0000000e+00 
1.6769912e+00 8.8588589e+00 0.0000000e+00 
1.5151515e+00 8.8486680e+00 0.0000000e+00 
1.3367564e+00 8.8388388e+00 0.0000000e+00 
1.3131313e+00 8.8373114e+00 0.0000000e+00 
1.1111111e+00 8.8261158e+00 0.0000000e+00 
9.5310538e-01 8.8188188e+00 0.0000000e+00 
9.0909091e-01 8.8159333e+00 0.0000000e+00 
7.0707071e-01 8.8053378e+00 0.0000000e+00 
5.4083431e-01 8.7987988e+00 0.0000000e+00 
5.0505051e-01 8.7957420e+00 0.0000000e+00 
3.0303030e-01 8.7842371e+00 0.0000000e+00 
1.1133802e-01 8.7787788e+00 0.0000000e+00 
3.0303030e-01 8.7596948e+00 0.0000000e+00 
3.0773161e-01 8.7587588e+00 0.0000000e+00 
5.0505051e-01 8.7514078e+00 0.0000000e+00 
7.0707071e-01 8.7401185e+00 0.0000000e+00 
7.2558924e-01 8.7387387e+00 0.0000000e+00 
9.0909091e-01 8.7306311e+00 0.0000000e+00 
1.1111111e+00 8.7194739e+00 0.0000000e+00 
1.1225057e+00 8.7187187e+00 0.0000000e+00 
1.3131313e+00 8.7088777e+00 0.0000000e+00 
1.4821357e+00 8.6986987e+00 0.0000000e+00 
1.5151515e+00 8.6968903e+00 0.0000000e+00 
1.7171717e+00 8.6842439e+00 0.0000000e+00 
1.7961950e+00 8.6786787e+00 0.0000000e+00 
1.9191919e+00 8.6697536e+00 0.0000000e+00 
2.0568015e+00 8.6586587e+00 0.0000000e+00 
2.1212121e+00 8.6525559e+00 0.0000000e+00 
2.2547456e+00 8.6386386e+00 0.0000000e+00 
2.3232323e+00 8.6285526e+00 0.0000000e+00 
2.3850654e+00 8.6186186e+00 0.0000000e+00 
2.4438803e+00 8.5985986e+00 0.0000000e+00 
2.4304500e+00 8.5785786e+00 0.0000000e+00 
2.3468352e+00 8.5585586e+00 0.0000000e+00 
2.3232323e+00 8.5552681e+00 0.0000000e+00 
2.1923213e+00 8.5385385e+00 0.0000000e+00 
2.1212121e+00 8.5315443e+00 0.0000000e+00 
1.9755398e+00 8.5185185e+00 0.0000000e+00 
1.9191919e+00 8.5139941e+00 0.0000000e+00 
1.7171717e+00 8.4993953e+00 0.0000000e+00 
1.7032112e+00 8.4984985e+00 0.0000000e+00 
1.5151515e+00 8.4862565e+00 0.0000000e+00 
1.3785964e+00 8.4784785e+00 0.0000000e+00 
1.3131313e+00 8.4742055e+00 0.0000000e+00 
1.1111111e+00 8.4629032e+00 0.0000000e+00 
1.0157757e+00 8.4584585e+00 0.0000000e+00 
9.0909091e-01 8.4517514e+00 0.0000000e+00 
7.0707071e-01 8.4415910e+00 0.0000000e+00 
6.2349469e-01 8.4384384e+00 0.0000000e+00 
5.0505051e-01 8.4301801e+00 0.0000000e+00 
3.0303030e-01 8.4207896e+00 0.0000000e+00 
2.0100406e-01 8.4184184e+00 0.0000000e+00 
1.6219905e-01 8.3983984e+00 0.0000000e+00 
3.0303030e-01 8.3947948e+00 0.0000000e+00 
5.0505051e-01 8.3844560e+00 0.0000000e+00 
5.8422254e-01 8.3783784e+00 0.0000000e+00 
